com_name,PIRATEN,déi gréng,LSAP,CSV,KPL,DP,ADR,déi Lénk,ps_count,ps_lv_only,ps_complete,cand_women,cand_men,cand_total,el_registered,el_postal_ballots,bl_in_box,bl_valid,bl_blank,bl_invalid,bl_postal,vot_count,vot_total_cast
Vianden,413,554,1340,1894,58,610,464,254,0,0,2,0,0,26,46,72,831,-999,699,649,26,24,103,5841,5587
Vichten,632,770,696,1582,76,1097,433,183,0,0,2,0,0,26,46,72,717,-999,678,640,25,13,119,5760,5469
Wahl,232,629,453,1484,11,960,608,267,0,0,2,0,0,26,46,72,618,-999,579,539,19,21,86,4851,4644
Waldbillig,411,1129,573,1549,19,1149,575,278,0,0,3,0,0,30,26,56,973,-999,880,835,19,26,140,5845,5683
Waldbredimus,279,611,329,1224,20,699,413,144,0,0,2,0,0,30,26,56,607,-999,570,540,9,21,66,3780,3719
Walferdange,2228,8577,5917,17264,284,12076,2972,2813,91,0,11,0,0,85,104,189,3224,-999,2837,2664,68,105,536,55944,52222
Weiler-la-Tour,716,3660,2383,6613,146,4261,1583,1013,73,0,4,0,0,85,104,189,1267,-999,1178,1101,18,59,206,23121,20448
Weiswampach,483,630,752,2042,46,1324,776,237,0,0,3,0,0,26,46,72,858,-999,794,745,21,28,113,6705,6290
Wiltz,1439,1395,5762,5269,329,1970,1901,474,0,0,7,0,0,26,46,72,2763,-999,2447,2201,84,162,328,19809,18539
Wincrange,1152,1353,4091,6218,90,3509,2355,372,0,0,6,0,0,26,46,72,2580,-999,2410,2248,71,91,331,20232,19140
Winseler,361,417,1072,1457,41,687,326,136,0,0,2,0,0,26,46,72,615,-999,570,524,16,30,64,4716,4497
Wormeldange,495,994,833,3529,21,1806,638,234,0,0,5,0,0,30,26,56,1437,-999,1341,1272,31,38,201,8904,8550
